Job_Role,Company,Location,Job Experience,Skills/Description
Data & Analytics Tech - Big Data- Manager,PwC,Bangalore/Bengaluru,3-7,"RDBMS, data security, GCP, Analytical, MySQL, QlikView, Oracle, Analytics"
Cloud Data Architecture Application Developer,Accenture,Bangalore/Bengaluru,8-10,"IT Skills, Java, Python, Cloud, Big Data, AWS, Azure, Business process"
Data Architect,Schneider Electric,Bangalore/Bengaluru,2-3,"Communication Skills, Azure, Data Quality, Business Rules, Data Architect, Big Data, Data Engineer, Aws"
Cloud Data Architecture Application Developer,Accenture,Bangalore/Bengaluru,8-10,"Business process, HP data protector, GCP, Consulting, SCALA, Cloud, Agile, Regulatory compliance"
Data & Analytics Tech - GCP - Manager,PwC,Bangalore/Bengaluru,12-14,"Performance tuning, NoSQL, Data management, GCP, cassandra, MongoDB, Operations, Analytics"
Gcp Data Architect,Wipro,"Hyderabad/Secunderabad, Bangalore/Bengaluru, India",10-16,"GCP, Bigquery, data modeling, Greenplum, Python, Teradata, IT Skills, Cloud"
Data Science Manager - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,3-8,"Data Science, R, Python, IT Skills, Java, Machine Learning, Cloud, SAP"
Python _Django with Strong data Structure & algorithm experience.,Tech Mahindra,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-10,"python, django, Algorithms, OOPS, Data Structures, Dialogflow, mySQL, object oriented programming"
Functional Data Architect,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,4-9,"Automation, Data analysis, metadata, Configuration management, SPSS, Oracle, Teradata, Analytics"
AWS Solutions Architect - Data & Analytics,Baker Hughes,Bangalore/Bengaluru,6-11,"Data management, Analytical, Cloud, Manager Technology, Data analytics, Dms, big data, Information technology"
Data Modeler,Schneider Electric,Bangalore/Bengaluru,3-6,"Etl Tool, Communication Skills, Data Management, Cloud, Big Data, Data Visualization, Web Analytics, Informatica"
Business Transformation Consultant: Big Data,IBM,Bangalore/Bengaluru,1-2,"Coding, Analytical, Debugging, Ab Initio, Oracle, Teradata, Business intelligence, Monitoring"
Data Architect/Functional data expert,Schneider Electric,Bangalore/Bengaluru,2-3,"Supply chain, data domain, Architecture, TOGAF, data security, Business Data Analyst, Data Architect, Data quality"
Data Engineer_Bangalore,Trigent,Bangalore/Bengaluru,1-2,"Data Engineer, Star Schema, Spark, communication, ETL, Python, Data warehousing, Scala"
Data Architect,Capco,Bangalore/Bengaluru,8-13,"Data Quality, Project Management, Continuous Improvement, Sql Server, Data Management, Data Analysis, Etl, Quality Assurance"
Big Data - Spark / Scala,KPMG,Bangalore/Bengaluru,3-5,"Scala, Hadoop, Cloud, Big Data Engineer, Data Lake, Aws, Performance Tuning, Sql Queries"
Data Integration Expert,Siemens,Bangalore/Bengaluru,3-5,"Computer science, RDBMS, Database design, Schema, Data quality, Informatica, Teradata, Monitoring"
Big Data Developer,Virtusa,"Chennai, Hyderabad",3-8,"python, Spark, Hadoop, Scala, IT Skills, Big Data, Hadoop Map Reduce, Spark Programming"
Senior/ Lead Data Engineer with Azure,Alliance Pro IT Private Limited,"Hyderabad/Secunderabad, Pune",5-10,"Azure, spark, python, sql, ETL, IT Skills"
Senior Data Engineer,First Employer,"Pune, Gurgaon/Gurugram",7-10,"Matplotlib, Numpy, Pandas, Spark, Mysql, pyspark, Python, IT Skills"
Big Data Developer,QuEST Global,Pune,10-12,"Big Data, data warehouse, Cloudera, Scala, Hadoop, Kafka, SQL Queries, Spark"
Big Data Developer,Nineleaps,Bangalore/Bengaluru,4-7,"IT Skills, Python, Testing, Cloud, Big Data, AWS, Performance tuning, Coding"
Senior Data Engineer,First Employer,"Pune, Delhi / NCR",7-10,"pyspark, Spark, Python, Matplotlib, Numpy, Pandas, Mysql, IT Skills"
Senior Data Engineer,Job Fittment Finder,"Pune, Delhi / NCR",7-10,"pyspark, Spark, Python, IT Skills, Machine Learning, Artificial Intelligence, Cloud, Matplotlib"
Senior Data Engineer,First Employer,"Pune, Gurgaon/Gurugram, Delhi / NCR",7-10,"Pyspark, Spark, Python, Pandas, Matplotlib, Mysql, Numpy, IT Skills"
Senior Data Engineer (Pune & Gurgaon),First Employer,"Pune, Delhi / NCR",7-10,"Mysql, Pandas, Numpy, Python, Spark, Matplotlib, pyspark, IT Skills"
Senior Data Engineer (Pune & Gurgaon),First Employer,"Pune, Delhi / NCR",7-10,"Management skills, Matplotlib, Team Handling, Any visuaization library, pyspark, Numpy, cloud, Mysql"
BIG Data Developers,MARSIAN Technologies,Pune,0-3,"IT Skills, Java, Elastic Search, Big Data, Multithreading, NoSQL, Architecture, Manager Technology"
Senior Data Engineer,Successr HR Tech PVT LTD,Hyderabad/Secunderabad,6-10,"Data Engineering, SQL Queries, Stored Procedures, python, No SQL, ETL, PowerBI, Tableau"
Senior Data Engineer,Successr HR Tech PVT LTD,Hyderabad/Secunderabad,6-8,"MS SQL, Data Engineering, SQL Queries, No SQL, PowerBI, Stored Procedures, Tableau, Big Data"
Senior Data Engineer - ETL/Data Warehousing,Yo HR Consultancy,Gurgaon/Gurugram,2-5,"Data Warehousing, ETL, Python, IT Skills, Big Data, AWS, Shell Scripting, Data Pipeline"
Senior Data Engineer - Python/AWS,Yo HR Consultancy,Gurgaon/Gurugram,2-6,"RDS, AWS, Python, Data Validation, DataLake, Data Pipeline, Data Warehousing, Data Modeling"
Junior Data Analyst,Everest Fleet Pvt. Ltd.,Thane,1-6,"Data Management, data, Excel Dashboards"
Ld. Data Mgmt Anlyst,BNY Mellon,Pune,3-6,"Computer science, Database design, Data modeling, Reconciliation, Management, Distribution system, Data warehousing, Monitoring"
Data Engineer - Python/ Business Objects/ Microstrategy,Huquo Consulting Pvt. Ltd,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",2-7,"Microstrategy, Business Objects, Python, DynamoDB, S3, analytical, Redshift, Tableau"
Need immediate joiners- Data Engineer,Hucon Solutions,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",4-6,"cloud data environment, R, SQL, IT Skills, Cloud, BIGQUERY, REDSHIFT, PYTHON"
Data Streaming Engineer,Serving Skill,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",7-12,"Kafka, Cloud, HDFS, Informatica, SCADA, Data Integration"
Azure Data Engineer - Data Modeling/Warehousing,Career Infosystem,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",5-10,"Azure, Data Pipeline, Data Lake, Data Modeling, Data Warehousing, Machine Learning, Data Integration"
Cloud Data Engineering Lead,Vichara Technologies,"Pune, Bangalore/Bengaluru, Delhi / NCR",8-13,"Spark, Azure SQL, AWS Redshift, Redshift, Warehouse, Azure, Glue, SQL"
Data Engineer - Java/Scala/Python,Corner Tree Consulting,"Mumbai, Chennai, Bangalore/Bengaluru, Delhi / NCR",5-9,"Java, Azure, Spark, Apache Beam, TDD, Agile, Redis, Scala"
Immediate Joiners -Data Engineer,Hucon Solutions,"Noida, Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",4-8,"Data Engineering, ADF, Azure Full Stack, ADLS, SYNAPSE, ADB"
Data warehousing Engineer,Confidential,"Noida, Srinagar, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",1-5,"Data warehousing, IT Skills, Testing, Tableau, Power BI, Scoop, data warehouse, DWH"
BI & Reporting Engineer - Azure Data Factory,Artifex HR,Bangalore/Bengaluru,6-11,"IT Skills, Python, Big Data, AWS, Azure, Azure Data Factory, Business Intelligence, BI Reporting"
Data Engineer - Pyspark & Scala,Maven Workforce,Bangalore/Bengaluru,4-9,"Pyspark, Big Data, Hadoop, Analytics, machine Learning, Scala, Python, IT Skills"
AWS Data Engineer,Ziolite,"Noida, Mumbai, Indore, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",3-8,"AWS, Redshift, Jenkins, EMR, RDS, DynamoDB, Hive, Glue"
Data Engineer,MNR Solutions,"Chennai, Bangalore/Bengaluru",5-7,"Data Engineer, Data aggregation, programming skills, IT Skills, Machine Learning, analysis of data"
Data Engineer,Best Infosystems Ltd,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",10-15,"data architecture, NoSQL, Agile methodology, Data warehousing, AWS, Lambda, data engineering"
Data Engineer - Java/Scala/Python,Corner Tree Consulting,"Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",5-9,"Java, Luigi, Dataproc, Dataflow, MySQL, Agile, Elastic Search, Vertica"
Lead Data Engineer,JOHNSON ELECTRIC PRIVATE LIMITED,Chennai,5-8,"SQL, Data Science, Python, C#, Matplotlib, Spark Code, Power Bi, Big Data"
Data Engineer - Python/Scala,FleXc,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-9,"Data Pipeline, Scala, Data Management, Spark, AWS, Python, SQL"
Data Engineer - Power BI/Tableau,Huquo Consulting Pvt. Ltd,"Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",6-10,"Power BI, Tableau, SQL, SPSS, written communication, Python, data mining, Rapidminer"
Data Engineer - Azure Databricks,Artifex HR,Bangalore/Bengaluru,3-5,"PL / SQL, Kafka, Azure, Cassandra, COSMOS DB, Airflow, Postgres, object - oriented / object"
Azure Data Engineer - ETL/DataLake,Altimax Business Solutions,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",5-10,"Azure, Data Lake, ETL, Azure SQL, Spark, Scrum, Analytics, communication"
Big Data Engineer - Spark/Scala,Altimax Business Solutions,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",4-9,"Big Data, IT Skills, Java, Python, Software Development, Cloud, DevOps, Jenkins"
Data Science Engineer - BFSI,GAMA India,Bangalore/Bengaluru,3-7,"Data Science, Data Scientist, Big Data, Machine Learning, Statistics, Python"
Technical Lead Data Engineer,Crisp Analytics or Lumiq,"Noida, Pune, Chennai, Mumbai (All Areas)",6-10,"IT Skills, Java, Python, Cloud, Project Management, Big Data, AWS, azure databricks"
Azure Data Engineer - ETL/ DataLake,Altimax Business Solutions,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",5-10,"Azure, ETL, data lake, Azure SQL, Spark, Scrum, Analytics, communication"
Big Data Engineer - Spark/Scala,Altimax Business Solutions,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",4-9,"PostgreSQL, Mongo dB, MySQL, Java, BigQuery, Scala, Hadoop, Cassandra"
Data Engineer - ETL/DataLake,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"DataLake, ETL, communication, engineering, IT Skills, Data Science, Data Quality, Data Pipeline"
"Lead/Staff Data Engineer (Hadoop, Spark), SMAI",Micron Tech,Hyderabad/Secunderabad,8-13,"Hadoop, big data processing, Spark, Azure, Cloud DW, Big Data, OLAP, Flume"
Data Engineer - Data Quality & Governance,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"Data Quality, data engineering, Data Governance, communication, ETL, IT Skills, Data Science, Data Validation"
Big Data Engineer - Data Structure/Algorithm,Talpro,"Gurgaon/Gurugram, Bangalore/Bengaluru",3-8,"IT Skills, Java, Python, Big Data, Multithreading, Scala, Spark, Performance Tuning"
Data Engineer - ETL/Distributed Systems,TalentStack,Bangalore/Bengaluru,6-9,"Hadoop, ETL, Distributed Systems, Data Warehousing, Tableau, Hive, Kafka, Java"
Data Engineer - Python/Spark/Big Data,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,4-9,"Big Data, Spark, Python, communication, Shell scripting, Hadoop, Hive, Talend"
Data Engineer - ETL Methodology - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-6,"ETL Methodology, data integration, SQL, Data Validation, Power BI, ETL Tools, Data Management, Webservices"
Big Data Engineer - Java/MySQL,Talpro,Bangalore/Bengaluru,4-9,"IT Skills, Java, Oracle, Big Data, Oracle DB, Multithreading, CI/CD Tools, Continuous Integration"
Data Engineer - Kafka/Spark,Serving Skill,Bangalore/Bengaluru,3-5,"Kafka, Azure core technologies, Spark, DataLake, Azure, PySpark, Azure HDInsight Databricks, Azure Databricks"
Data Engineer - ETL/Java,TalentStack,Bangalore/Bengaluru,2-4,"Java, data warehousing, ETL, Tableau, Hive, Kafka, Hadoop, data warehousing architecture"
Data Engineer - SSIS/ETL Tools,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,2-5,"Data Validation, Data Management, Data Extraction, Webservices, SSIS, ETL, Data Integration, SQL"
Azure Data Engineer - Data Factory/DataLake,Serving Skill,Bangalore/Bengaluru,2-7,"Azure Data Factory, Azure Data Lake, SQL Server, Azure SQL Server, written, Databricks, communication, IT Skills"
Data Engineer - IoT,Serving Skill,Bangalore/Bengaluru,3-6,"Dockers, Containers, IOT, IT Skills, Python, Software Development, Cloud, DevOps"
Data Engineer - Kafka/Spark,Serving Skill,Bangalore/Bengaluru,3-5,"Kafka, DataLake, Azure, PySpark, Cloud, Azure Databricks, Spark, AWS"
Data Engineer - IoT,Serving Skill,Bangalore/Bengaluru,3-6,"PySpark, Scala, IOT, Azure Data Factory, software development, Data Management, Kafka, Azure Cosmos"
AWS Data Engineer - Python/SQL,Serving Skill,Bangalore/Bengaluru,7-12,"AWS, Python, SQL, Cloud Services, EMR, Lambda, AWS Cloud, Spark"
Azure Data Engineer - Spark/ Python/DataLake,Serving Skill,Bangalore/Bengaluru,6-9,"DataLake, Spark, Python, IT Skills, Cloud, DevOps, MS SQL, .Net"
Lead Data Engineer,Bigshyft Hiring for MediBuddy,Bangalore/Bengaluru,7-9,"PostgreSQL, MySQL, Cassandra, MongoDB, Python"
Data Engineer - Azure/SQL/Python,Yo HR Consultancy,Bangalore/Bengaluru,3-7,"Azure, Azure Data Factory, PLSQL, analytical, Pyspark Coding, Python, SQL queries, SQL"
Data Engineer - ETL/Distributed Systems,TalentStack,Bangalore/Bengaluru,6-9,"ETL, Distributed Systems, data warehousing architecture, Hive, Tableau, Kafka, SQL, Spark"
Data Engineer - Functional Programming/Big Data,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-6,"Data Quality, DevOps, Open Source, Data Pipeline, Functional Programming, OOPS, Big Data, Data Modeling"
Operations Data Engineer - AWS/Azure,Career Infosystem,"Chennai, Bangalore/Bengaluru",3-8,"AWS/Azure, Java, Databricks, NoSQL, Core Java, Azure, OozieAirflow, Analytics"
Data Engineer - ETL Methodology - IIT / NIT / BITS,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-6,"Data Validation, IT Skills, Tableau, Power BI, IBM Data Stage, ETL Tools, Mulesoft, Snaplogic"
Big Data Lead Engineer - Python/PySpark,Serving Skill,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",5-9,"IT Skills, Java, J2EE, Python, Software Development, Testing, Cloud, AWS Virtual Private Cloud"
Big Data Engineer - Java/Scala,Talpro,Bangalore/Bengaluru,3-8,"Spark, Java, HDFS, Kafka, Oracle, Redis, Python, Unix"
Cloud Big Data Engineer - Scala/Kafka/Spark,Geek Technologies,Bangalore/Bengaluru,8-13,"Scala, Kafka, Spark, Apache Flink, Cloud, Big Data, EMR, EHR"
Data Engineer - Database Technologies,Catalyst,Bangalore/Bengaluru,2-4,"SSMS, Data Quality Services, Oracle, ETL, RDBMS, Power BI, Tableau, MS SQL Server"
Azure Data Engineer - Spark/Python/DataLake,Serving Skill,Bangalore/Bengaluru,6-9,"IT Skills, Python, Cloud, DevOps, MS SQL, .Net, Azure, Azure Active Directory"
Data Engineer - Kafka / Spark,Serving Skill,Bangalore/Bengaluru,3-5,"DataLake, Azure, PySpark, Azure HDInsight Databricks, Kafka, Azure Databricks, Azure SQL Database, SQL data warehouse"
Principal Engineer - Big Data/Hadoop,Talpro,"Bangalore/Bengaluru, Delhi NCR",5-10,"IT Skills, Java, Testing, Machine Learning, Cloud, Project Management, Big Data, NoSQL"
Data Engineer - ETL/Python/SQL Server,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-7,"SQL Server, ETL, Python, Relational Database Management, RDBMS, PySpark, Hadoop ecosystem, Hadoop"
AWS Data Engineer - Python/ SQL,Serving Skill,Bangalore/Bengaluru,7-12,"IT Skills, Python, Machine Learning, Cloud, AWS, DataLake, NoSQL, Cloud Services"
Data Engineer - Python/MS SQL,Talpro,"Hyderabad/Secunderabad, Bangalore/Bengaluru",8-12,"IT Skills, Python, Machine Learning, MS SQL, Azure, NoSQL, PySpark, Hadoop"
Lead Architect / Cloud Engineer - DevOps/Big Data - IIT/ NIT/ BITS/MCA,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,5-8,"Technical Architect, IT Skills, Cloud, DevOps, Elastic Search, Big Data, AWS, Azure"
Principal Engineer - Big Data/ Hadoop,Talpro,"Delhi / NCR, Bangalore/Bengaluru",5-10,"NoSQL, OOAD, OOPS, Hadoop, Big Data, Webservices, ETL, Algorithm"
Data Engineer - Big Data/Hadoop/ETL,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,4-8,"Hadoop, Big Data, ETL, Pyspark, Docker, Big data platforms, Spark Framework, Data warehousing"
Data Engineer/Lead - Data Mining/Spark/Hadoop,Serving Skill,"Hyderabad/Secunderabad, Bangalore/Bengaluru",7-12,"MS SQL, MS Azure, data modelling, NoSQL, Hadoop, Spark, Azure Cosmos, Tensorflow"
Data Engineer - Python/Spark/Big Data,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,5-10,"Data Science, IT Skills, Python, Cloud, Big Data, AWS, Pyspark, Hive"
Application Engineer/Computational Scientist - TCAD,Applied Materials,Bangalore/Bengaluru,2-7,"TCAD, Product Development, Algorithm Development, Software Development, Product Design, Data Analysis, Process Modeling"
Azure Data Engineer - Data Factory/DataLake,Serving Skill,Bangalore/Bengaluru,4-9,"Azure SQL Server, SQL Server, Databricks, Azure Data Factory, communication, written, Azure data lake, IT Skills"
Data Engineer - ETL/ Python/ SQL Server,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-7,"SQL Server, ETL, Python, IT Skills, Data Science, Cloud, Oracle, Big Data"
Data Engineer,Corner Tree Consulting,Bangalore/Bengaluru,6-9,"PostgreSQL, MySQL, SQL, Azure, Spark, Apache Beam, TDD, Agile"
Data Engineer - eCommerce,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,3-7,"Pyspark, Spark Framework, Python, Data Management, Data Architect, Big Data, Data Warehousing, Data Modeling"
Lead Data Engineer,whiz.ai,Pune,3-8,"Nosql, Shell Scripting, Hadoop, Data Engineer, Data Modeling, Data Processing, Etl, Aws"
Lead Data Engineer,Digital Group InfoTech Pvt Ltd,Pune,8-12,"SSIS, Recruitment Lead, SQL, Python"
SDET / Lead Quality Engineer - Big Data/Automation |Tesing,Serving Skill,Bangalore/Bengaluru,4-8,"Python, HDFS, Automation Testing, Spark, Python scripting, Scala, Pyspark, IT Skills"
Lead Data Engineer,Anicalls,Noida,5-10,"Airflow, Redshift, AWS Redshift, CICD, Netezza, communication, object - oriented development, verbal"
Lead Data Engineer,Anicalls,Mumbai,5-10,"Data migration, Architecture, Data modeling, GCP, Schema, Agile, Data analytics, Data warehousing"
Lead Data Engineer- Full-Time Role- Hyderabad Location,Pythian,Hyderabad/Secunderabad,6-9,"Data Engineering, Data Warehousing, AWS, IT Skills, Java, Python, Cloud, Azure"
Lead Data Engineer,Clairvoyant India Pvt. Ltd,Pune,7-12,"Technical training, Junior Staff, orchestration, Architecture, Agile development, Scrum, Data quality, Open source"
Lead Data Engineer IT - BDA,Micron Tech,Hyderabad/Secunderabad,7-12,"T-SQL, Business Intelligence, Data Warehousing, ETL, Analytics, SSAS, Power Bi, MS SQL Server"
Lead Data Engineer,eNFLUENCE IT Services Pvt. Ltd.,Hyderabad/Secunderabad,7-10,"IT Skills, Python, Software Development, Cloud, DevOps, Project Management, AWS, CI/CD pipelines"
Development Engineer - Algorithm/Data Structure,Serving Skill,"Chennai, Bangalore/Bengaluru",2-4,"algorithms, Load Balancers, Data structures, BitBucket, Azure, written communication, GCP, Golang"
Lead Data Engineer,MG GLOBAL,Mumbai,3-7,"Solution design, Front office, Business transformation, Data modeling, Analytical, Management consulting, Actuarial, Customer service"
Lead Data Engineer,M&amp;G plc,Mumbai,2-5,"Solution design, Front office, Business transformation, Data modeling, Analytical, Management consulting, Actuarial, Customer service"
Lead - Data Engineer,Orion Systems Integrators,Chennai,6-10,"IT Skills, Python, Testing, Cloud, SAN, Data migration, French, Business transformation"
Data Engineer Lead/Architect - Python/Spark/SQL,Techstar Software Development India Pvt. Ltd.,Pune,7-12,"SQL, Spark, Python, IT Skills, Java, Cloud, Big Data, AWS"
Lead Data Engineer,Advance Auto Parts,Hyderabad/Secunderabad,8-10,"data cleansing, Data management, GCP, Database design, Schema, data governance, Data quality, Business intelligence"
Lead Data engineer,Alation,Chennai,5-11,"Data Science, Big Data, Data Engineer, Data Warehousing, Aws, Etl, Machine Learning, Data Governance"
Lead Data Engineer,Zepto,Mumbai,6-10,"Database design, Data modeling, Script writing, data governance, test driven development, Business strategy, Analytics, SQL"
Lead - Data Engineer,Sutherland Global Services Inc,Hyderabad/Secunderabad,3-6,"Ms Sql Server, Linkedin, Technical Support, Data Visualization, Etl, Talent Acquisition, Recruitment"
Development Engineer - Algorithm / Data Structure,Serving Skill,"Chennai, Bangalore/Bengaluru",2-4,"Load Balancers, Azure, Data structures, Microservices, verbal, written communication, AWS, Kubernetes"
ETL Test Engineer - Big Data Testing,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,10-20,"SQL queries, Big Data Testing, ETL, Agile, Hadoop eco, Big Data, Data warehouse testing, Hive"
ETL Test Engineer - Big Data Testing,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,10-15,"SQL queries, Big Data Testing, ETL, Agile, Hadoop eco, Big Data, Data warehouse testing, Hive"
Big Data Testing Engineer - Regression/Automation Testing,Talpro,Bangalore/Bengaluru,3-8,"communication, Performance testing, Selenium, API testing, CAMEL, test automation, Docker, Chef"
Lead Data Engineer,Prevalent AI India Private Limited,"Kochi, Kakinada",5-10,"Computer science, Solution architecture, metadata, Data management, Project management, Data structures, SIP, Open source"
Data Privacy Engineer,Talent Placers,Bangalore/Bengaluru,12-19,"system development life cycle, agile software development, enterprise data management, IT Skills, Software Development, Machine Learning, DevOps, Data Privacy Management"
Data Governance Engineer - Informatica/ Collibra,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,4-9,"Collibra, Informatica, Data Governance, Presentation Skills, Communication Skills, Data Management, Problem Solving, Data Analysis"
Junior Data Engineer_Eco,IBM,Ahmedabad,1-3,"Linux, Data management, Open source, SQL, Python, IT Skills, Java, Software Development"
"Lead Data Engineering,Hyderabad (Early/Immediate Joiners Preferred)",CAREERDOST ENTERPRISE,Hyderabad/Secunderabad,8-13,"Data Engineering, IT Skills, Python, Cloud, AWS, Azure, hive, ADF"
BIG Data Engineer - Lead,Sollys Consulting and Solutions Pvt Ltd,Hyderabad/Secunderabad,10-11,"Big data, Kafka, OLAP, MapReduce, Data, Cassandra, OLTP, Solr"
Azure Data Lead Engineer,Anicalls,Mumbai,5-10,"Azure, Azure store, Databricks, Azure Data Factory, Azure DevOps, verbal, Azure Stream Analytics, communication"
LEAD ENGINEER - DATA ANALYTICS - P3,Carrierin Services,Hyderabad/Secunderabad,7-11,"IT Skills, Java, Python, Machine Learning, Artificial Intelligence, Cloud, Javascript, C++"
Senior Business Analyst/data Engineer - Python & Cloud Computing,Huquo Consulting Pvt. Ltd,"Delhi / NCR, Others",2-4,"Azure, Python, AWS, IT Skills, Testing, Business Analyst, Cloud"
Associate Data Analyst(Experion),TAMCHERRY TECHNOLOGIES PRIVATE LIMITED,"Kochi/Cochin, Trivandrum/Thiruvananthapuram",3-5,"Tableau, R, Glue, Informatica, Talend, Python, Google Data Studio, QlikView"
Senior Data Engineer,SPOTTABL TECHNOLOGIES PRIVATE LIMITED,Bangalore/Bengaluru,3-7,"python, Pandas, aws, oral communication, git, CI / CD, subversion, Jenkins"
"Sr. Data Engineer- python,sql,API _ Permanent Work from Home",Bytes To Bots Consultancy Services Private Limited,Bangalore/Bengaluru,3-5,"database design, APIs, management, Docker, Python, Unix, Git, Data Management"
Senior Data Engineer,FUTURES AND CAREERS,Bangalore/Bengaluru,5-9,"Spark Streaming, Airflow, Hive, Kafka, Spark, AWS S3, Data modeling, Python"
Sr.Data Engineer,WENGER & WATSON BUSINESS SYSTEMS PRIVATE LIMITED,Bangalore/Bengaluru,5-10,"python, spark, hadoop, Oozie, Scala, troubleshooting, HIVE, Java"
Sr. Data Engineer (Immediate Joiner),Talent Corner HR Services Pvt Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-8,"Python, Hadoop, Spark, Data Architecture, ETL, object - oriented, Data Modeling, Java"
Senior Data Engineer,Acme Services,Bangalore/Bengaluru,3-5,"Communication Skills, Data Engineering, Written Communication, ETL, Python, Verbal"
Sr Big Data Engineer,Swift Strategic Solutions Inc,Bangalore/Bengaluru,4-8,"Pyspark, SPARK, Python scripting, HDFS, KAFKA, Scoop, Hive, Shell Scripting"
Sr Data Engineer,CHANGE LEADERS CONSULTING,Bangalore/Bengaluru,8-13,"ETL, SQL, Python, Sqoop, Talend, Infromatica, Etc, AWS"
Senior Data Engineer,FUTURES AND CAREERS,Bangalore/Bengaluru,3-8,"Python, Spark Streaming, S3, Sqoop, Hive, Airflow, Spark, AWS S3"
Job Opening For Senior or Principal Data Engineer at Bangalore,Convate Consultancy Services Pvt Ltd,Bangalore/Bengaluru,8-13,"Data Engineer, IT Skills, Python, Cloud, Project Management, Big Data, AWS, Azure"
Senior Data Engineer - Richpanel,Richpanel,Mumbai,3-7,"SAN, French, C, ECS, SAAS, Javascript, Manager Technology, Cook"
Senior Data Engineer,ManpowerGroup Services India Private Limited,Delhi / NCR,3-5,"python, SCALA, Data Engineer, AWS, RDS, Athena, data integration, Java"
Data Analyst / Engineer,Vacancieshub HRM solutions Pvt Ltd,Kochi/Cochin,0-3,"Data Engineering, SQL, Python, communication, IT Skills, Data Science"
Senior Software Engineer - Data Engineer,iSOCRATES MAdTech Private Limited,Mysore/Mysuru,4-7,"Python, Pyspark, H-SQL, MySQL, Big Data, PlSQL, AWS, Redshift"
Senior Data Engineer - Cloud Infrastructure,Rishyaa Digicorp,Hyderabad/Secunderabad,3-8,"programming language, logical and analytical ability, communication skills, CICD, Apache Airflow, AWS S3, communication, AWS cloud"
Director/ Sr. Director - Data Engineering,BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,10-16,"Data Engineering, IT Skills, Python, Data Science, Cloud, Big Data, AWS, algorithms"
Data Engineer Senior Role,Allegis Services India Pvt. Ltd.,Hyderabad/Secunderabad,3-5,"python, etl, AWS, Athena, sql"
Data Engineer - ETL/Python/Airflow,DataToBiz,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",3-8,"Airflow, ETL, Python, IT Skills, Testing, Cloud, Apache Airflow, BigQuery"
Big Data Engineer,TetriQ Solutions,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",5-8,"Big Data, Python, SQL, data warehousing, MPP, Agile, communication, Azure Synapse"
