Job_Role,Company,Location,Job Experience,Skills/Description
Senior Data Scientist,TrueView HR Consulting Pvt. Ltd,"Pune, Bangalore/Bengaluru",6-8,"Data Science, IT Skills, Python, Testing, Machine Learning, Cloud, AWS, Tableau"
Senior Data Scientist - Global Product Organisation.,Spencer N Hills Consulting Pvt Ltd,Bangalore/Bengaluru,10-18,"advanced analytics, data science, machine learning, Python"
Senior Data Scientist - Python/Deep Learning Algorithms,SuccessR Hrtech Pvt Ltd,Bangalore/Bengaluru,5-10,"Algorithms, Deep Learning, Python, IT Skills, Testing, Data Science, Machine Learning, Data Quality"
Senior Data Scientist,Scienaptic Systems,Bangalore/Bengaluru,5-9,"mining, Data mining, Analytics"
Data Scientist - Immediate Joiners,Bristlecone,"Noida, Mumbai, Pune, Bangalore/Bengaluru",5-8,"Data Science, Machine Learning, Naive Bayes, KNN, Text mining, CNN, python, NLP"
Urgent Hiring For AI Data Scientist,Ashkom Media India Private Limited,"New Delhi, Bangalore/Bengaluru, Mumbai (All Areas)",1-4,"EC2, AWS, artificial intelligence, Data Analysis, Machine Learning, statistical modeling, IT Skills, DevOps"
Data Scientist,PayU,Bangalore/Bengaluru,2-6,"Logistic regression, Automation, data science, Underwriting, Machine learning, Analytics, Monitoring, Financial services"
Data Scientist,PayU,Bangalore/Bengaluru,3-6,"Computer science, SAS, Coding, Social media, Machine learning, Agile, Data mining, Financial services"
Data Scientist,PayU,Bangalore/Bengaluru,2-6,"Computer science, SAS, Social media, Machine learning, Agile, Fraud analytics, Data mining, Financial services"
Data Scientist,PayU,Bangalore/Bengaluru,2-5,"Qualitative research, SAS, Analytical, Social media, Data collection, Predictive modeling, Data mining, Forecasting"
Data Scientist,IBM,Bangalore/Bengaluru,8-12,"Unix, VMware, Networking, Virtualization, SQL, IT Skills, Python, Machine Learning"
Data Scientist,NSE.IT Ltd,Mumbai,5-10,"CNN, deep AI, Python, keras, tensorflow, machine learning, LSTM, NLP"
Principal Data Scientist,NSE.IT Ltd,"Mumbai, Pune",5-7,"IT Skills, Python, Testing, Cloud, Big Data, AWS, Tableau, Computer vision"
Associate Data Scientist,Optum,Gurgaon/Gurugram,1-5,"SQL, Data Science, R, Logistic Regression, Linear Regression, Time Series Analysis, Artificial Intelligence, Decision Trees"
Data Scientist - Python/Machine Learning,Corner Tree Consulting,"Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",10-14,"Python, R, Statistical Analysis, Data Analytics, CICD, Net Core, Machine learning, DevOps"
Hiring For Sr. Data Scientist,Netscribes,"Mumbai, Thane, Mumbai (All Areas)",5-8,"Data Science, python, data mining, nlp, machine learning, data wrangling, Statistics, sql"
AVP Data Scientist (credit and fraud risk models - BFSI),SSJ Solutions,Gurgaon/Gurugram,8-13,"Data Science, Credit Risk Modelling, Fraud Risk Assessment, Big Data Analytics, python, Hadoop Spark, Machine Learning, Fraud Analytics"
Senior/Lead Data Scientist - Machine Learning/Deep Learning,Squareroot Consulting Pvt Ltd.,Bangalore/Bengaluru,1-6,"Visualization, Exploratory Testing, Machine Learning, PHD, Deep Learning, ., Data Structure, NLP"
Senior Data Scientist/Data Scientist - Research/Analytics/Consulting,Hexaconcepts,Bangalore/Bengaluru,6-9,"Big data frameworks, Research, Analytics, Scala, Natural Language Processing, Big Data, Machine Learning, Statistics"
Data Scientist/Senior Data Scientist - Python,ApicalGo Consultancy,Bangalore/Bengaluru,3-6,"R, SQL, Python, Data Science, Power BI, Marketing Automation, Data Scientist, Statistical Modeling"
Senior Data Scientist - SQL/Python/Numpy,Serving Skill,Bangalore/Bengaluru,2-6,"IT Skills, Python, Data Science, Machine Learning, Data Scientist, Pandas, Numpy, Deep Learning"
Senior Data Scientist (Fintech),TalentStack,Bangalore/Bengaluru,9-12,"data science, risk assessment, credit risk, fraud detection, machine learning, ETL, finance, post production"
DATA Scientist || Goa,RANDSTAD INDIA PVT LTD,goa,5-7,"Data Science, DATA SCIENTIST, Machine Learning"
Data Scientist,GSK India,Bangalore/Bengaluru,4-7,"Procurement, Computer science, Analytical, Pharma, Machine learning, Healthcare, Genetics, Data mining"
Data Scientist | Product based MNC | Pune/ Kolkata,Abzooba India Infotech Private Limited,"Kolkata, Pune",3-8,"deep learning, python, machine learning, written communication, verbal, Pyspark, IT Skills, time series analysis"
Immediate requirement of Data Scientist ( Bangalore),Firstsource Solutions Limited,Bangalore/Bengaluru,2-7,"Power Bi, data scientist, Data Modeling, dashboards, Dax, Tableau"
Data Scientist,Teqforce Solutions Pvt Ltd,Pune,4-9,"nlp, pyspark, machine learning, IT Skills, Data Science, Cloud, AWS, Azure"
Data Scientist,Darshan Soft-Tech Pvt. Ltd,"Hyderabad/Secunderabad, Vadodara",4-6,"data science, Quantitative Analysis, data analysis, data mining, predictive modeling, statistical modeling, sql"
Data Scientist,IBM,Kochi/Cochin,8-12,"Computer science, Data analysis, Networking, Analytical, SQL, IT Skills, Java, Python"
Specialist - Data Scientist,UPL,Mumbai,7-12,"data science, SciPy, unit testing, presentation skills, MATLAB, SQL, GIS, coding"
"Immediate Hiring For DATA Scientist @ HCL, Chennai",HCL Technologies,Chennai,12-18,"Tensorflow, deep learning, python, Semiconductor, data scientist, IT Skills, Machine Learning, Artificial Intelligence"
Data Science/Data scientist| Product Company|5+ yrs,HighRadius,"Bhubaneswar, Hyderabad/Secunderabad",5-9,"Machine Learning, IT Skills, Python, Data Science, Cloud, AWS, Azure, Pytorch"
Data Scientist,S P A Enterprise Info Services (India) Private Lim,Remote,4-8,"python, R Program, Data Visualization, data analysis, analytical, R, RDBMS, data mining"
Data Scientist,Teqforce Solutions Pvt Ltd,Remote,4-9,"Machine Learning, IT Skills, Data Science, Cloud, AWS, Azure, NLP, PySpark"
Data Scientist,Virtue Analytics,Lucknow,3-5,"data analytics, Data Science, R, Data Scientist, predictive modeling, Data Management, Data Modeling, Machine Learning"
Virtue Analytics - Data Scientist,Virtue Analytics,Lucknow,3-5,"Data Scientist, data management, modeling, data analytics, Project Management, problem-solving, communication skills"
Virtue Analytics - Data Scientist,Virtue Analytics,Lucknow,3-5,"data mining, Data Science, Data Scientist, Data Management, Data Modeling, Data Analytics, Machine Learning, Analytics"
Data Scientist,Virtue Analytics,Lucknow,3-5,"data analytics, Data Science, Data Management, Data Modeling, Machine Learning, Analytics"
Data Scientist,Foxberry Technologies Pvt. Ltd.,Pune,0-1,Data scientist
Data scientists,UNBXD Software Pvt Ltd,"Mumbai, Daman & Diu",3-7,"Product management, Logistic regression, data science, Analytical, Machine learning, Agile, MongoDB, Customer engagement"
Data Scientist,Coditas Technologies Pvt Ltd,Pune,4-8,"IT Skills, Python, Data Science, Cloud, Big Data, AWS, Tableau, Backend"
Associate Scientist - Semantic & Data Modeling,AXA Technology Services India Pvt. Ltd,Bangalore/Bengaluru,2-4,"Process optimization, Data management, Data modeling, Project management, Analytical, Build management, Risk management, Release management"
Senior Data Scientist,Liquiloans,Mumbai,3-6,"Data Scientist, programming, Python, Data Science, Data Management, Data Analytics, Analytics"
Senior Data Scientist,ADF Data Science Private Limited,Remote,2-4,"python, sql, Predictive Modeling, neural networks, logistic regression"
Data Scientist / Senior Data Scientist,Grazitti Interactive,Mohali,3-8,"Python, Machine Learning, SQL, R, IT Skills, Data Science, IT services, Computer science"
Senior Data Scientist - Regression Modeling,Liquiloans,Mumbai,4-6,"Regression Modeling, machine learning, IT Skills, Data Science, GLMGAM, Data Scientist, Boosting Bagging techniques, Data Management"
